"B73_S1","B73_S2","B73_S3","B73_S4","Mo17_S1","Mo17_S2","Mo17_S3","Mo17_S4","H_S1","H_S2","H_S3","H_S4","acs_S1","acs_S2","acs_S3","acs_S4","Accession","Protein","Gene","B73_sum","Mo17_sum","H_sum","acs_sum"
93015818.65,130820991.7,141386765.9,71452895.76,299303872.6,608348245.4,417317460.7,436797728.3,126160765.8,357117203.5,235319265,255625709.2,79465288.24,231186789.8,195476873.7,179581825.3,"Zm00001d024281_T001"," polyamine oxidase1","Zm00001d024281",436676472.01,1761767307,974222943.5,685710777.04
430164645.5,1148972430,2021298134,1334572558,719457416,2868963121,2914398585,4132173716,344366096,2179177381,2934837600,4754741563,229713535.5,1426256342,1980881853,3030130232,"Zm00001d003429_T001","Glyceraldehyde-3-phosphate dehydrogenase A%2C chloroplastic  ","Zm00001d003429",4935007767.5,10634992838,10213122640,6666981962.5
7928157.603,15578872.12,21096442.01,15142691.05,12818932.69,33666813.91,29214968.9,37142285.74,6650755.136,26073877.34,27395250.61,37666494.46,4718080.562,17682980.57,20256131.71,25574300.06,"Zm00001d035812_T003","Translocase of chloroplast 159 chloroplastic","Zm00001d035812",59746162.783,112843001.24,97786377.546,68231492.902
243836727.6,675532288.1,1327431081,887112512.8,428852883.6,1734770300,2028131326,2712510784,170604662.8,1213232198,1771509415,2837289692,148085497.6,903388877.4,1456643438,2199738811,"Zm00001d027488_T001"," glyceraldehyde phosphate dehydrogenase B1","Zm00001d027488",3133912609.5,6904265293.6,5992635967.8,4707856624
11913878.34,23753293.09,33710797.46,22585479.69,21868560.04,52815615.99,46596280.96,51187295.32,10185053.65,41962741.03,42120108.34,53677535.79,7728482.741,30073450.28,34970360.42,40805833.21,"Zm00001d004125_T001"," acetyl-CoA carboxylase2","Zm00001d004125",91963448.58,172467752.31,147945438.81,113578126.651
89130928.89,193914802.3,286718298.8,207726280.5,160618162.5,425678431.3,403987313.1,549555078.8,82828786.22,367680471.5,392084205.8,556044158.1,50189064.2,214914929.6,254153083.9,350162615.7,"Zm00001d015376_T001","Phosphoglycerate kinase  ","Zm00001d015376",777490310.49,1539838985.7,1398637621.62,869419693.4
26593662.28,32748142.43,36367629.05,25784272.41,33419148.22,45332199.7,34449434.99,41962681.5,23671215.13,55618332.73,44563083.24,53821429.18,17670523.06,44861792.44,44327335.84,46952802.45,"Zm00001d023903_T001","OSJNBb0028M18.1 protein","Zm00001d023903",121493706.17,155163464.41,177674060.28,153812453.79
7714878.822,18398627.62,28007657.31,19283856.2,11939922.94,34628506.01,33140708.64,41163775.76,6315488.503,30549329.26,34239354.61,48464323.28,4367998.695,21101394.54,27229433.84,36025476.36,"Zm00001d007905_T001","Valine--tRNA ligase chloroplastic/mitochondrial 2","Zm00001d007905",73405019.952,120872913.35,119568495.653,88724303.435
58153680.86,141443508.2,256071917.4,152551065.7,103964422.9,482839718.4,484632719.4,699480543.6,28504711.29,287289760.7,399464646.5,715690674.8,28625431.88,187516506.1,266370152.9,389355084.6,"Zm00001d018386_T005","Aspartate aminotransferase chloroplastic","Zm00001d018386",608220172.16,1770917404.3,1430949793.29,871867175.48
52514883.33,136742397.6,226557930.2,156031781.9,72469184.57,275654068.1,269033837.2,373773730.3,32348715.31,222752215.8,274945265,446618537.6,21672637.63,130086315.3,198471919.5,299385261.7,"Zm00001d032385_T001"," ADP glucose pyrophosphorylase small subunit leaf1","Zm00001d032385",571846993.03,990930820.17,976664733.71,649616134.13
14563740.13,24404456.85,30705335.08,23239508.41,24746541.01,47171275.76,40020725.35,49956109.41,13298130.22,41739556.59,37599598.29,47663941.67,7617643.556,23311614.07,26116513.27,30798741.6,"Zm00001d033204_T001"," methyl binding domain115","Zm00001d033204",92913040.47,161894651.53,140301226.77,87844512.496
58280073.06,101600379.9,134688915.1,82170058.76,113413883.8,249647640.5,207075229.2,250774151.3,68323180.97,257188773.8,215251188.2,273937246,46807018.39,158183406.5,163801630.6,198693215.9,"Zm00001d031128_T004","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 1","Zm00001d031128",376739426.82,820910904.8,814700388.97,567485271.39
10349032.11,18766974.05,25643169.52,18879913.45,23349771.37,46010429.86,41409428.89,67205342.02,11136375.71,37153799.56,37326679.04,58464431.36,7553524.191,24246512.68,28182846.68,41509087.75,"Zm00001d034388_T010"," aldehyde oxidase4","Zm00001d034388",73639089.13,177974972.14,144081285.67,101491971.301
41810935.03,100164769,157995073.3,106287321.2,65854803.94,222650195.5,221241575.1,280234531.3,28580673.42,178344828.2,207751146.8,309232063.3,21254208.38,111006256.4,146710826.7,203217795.2,"Zm00001d024009_T001","Chaperone protein ClpC1 chloroplastic","Zm00001d024009",406258098.53,789981105.84,723908711.72,482189086.68
208366946.3,537012023.7,814473181.2,504665184,320280247.2,1252264977,1190393102,1797506379,175426682.4,1096116792,1390819609,2072186805,80833419.54,563113481.8,687350142.6,860568054.8,"ZemaCp036.1","petA","ZemaCp036.1",2064517335.2,4560444705.2,4734549888.4,2191865098.74
53845415.2,163306381.5,323233800.7,239449749.6,106836854.1,451742513.5,509068342.7,756762755.7,46287648.31,408198294.9,555737811.7,931539251.7,20915209.05,172484762.4,271083393.8,442374242.5,"Zm00001d032331_T001","Peptidyl-prolyl cis-trans isomerase  ","Zm00001d032331",779835347,1824410466,1941763006.61,906857607.75
8617292.09,13132898.36,17160090.91,11158481.11,32706911.09,69093476.23,49209551.39,57458249.84,11436527.45,36010839.44,32616711.85,41466810.45,6314812.365,18632859.06,19190165.34,23256058.16,"Zm00001d012881_T001","DPP6 N-terminal domain-like protein","Zm00001d012881",50068762.47,208468188.55,121530889.19,67393894.925
20699887.33,31983793.16,42897380.89,29487538.23,41805253.35,75648168.21,58477377.3,81655473.01,23514553.65,73148910.18,64062664.95,91832333.14,14761048.13,40167589.75,40447771.97,51298120.65,"Zm00001d034602_T001"," brown midrib2","Zm00001d034602",125068599.61,257586271.87,252558461.92,146674530.5
6091888.17,15058731.56,24254667.13,18169628.64,12790018.74,39654978.41,37927685.52,47699369.32,5365819.908,31434572.75,37749132.91,57026084.75,3256216.313,16995585.45,25785767.87,34910335.4,"Zm00001d048737_T001","protein_coding","Zm00001d048737",63574915.5,138072051.99,131575610.318,80947905.033
115890210.3,329630995.7,564141592.2,388161242.3,274001942.8,1047860531,1092345182,1377674621,87177778.33,661275466.7,846280907,1337618477,58648778.32,388707742.2,568848118.5,809494960,"Zm00001d031899_T002"," malate dehydrogenase6","Zm00001d031899",1397824040.5,3791882276.8,2932352629.03,1825699599.02
6731768.436,14750312.61,23571881.16,15934741.3,13274508.44,41800398.1,40371640.54,50851881.65,6087613.301,30874209.93,35587873.73,52634373.62,3272157.4,16018095.81,19990694.89,27549067.72,"Zm00001d008497_T002","Leucine--tRNA ligase chloroplastic/mitochondrial","Zm00001d008497",60988703.506,146298428.73,125184070.581,66830015.82
134259175.5,371138942.1,727507606.6,834927491.7,255694262.9,962519441.8,1123080303,1896878765,71082422.6,528129295,956251817.7,2022516454,74689512.13,423202849.7,695279547.1,1456683519,"Zm00001d024037_T002","Beta-glucosidase2  ","Zm00001d024037",2067833215.9,4238172772.7,3577979989.3,2649855427.93
20039064.57,53922571.11,93068946.52,64962048.35,35116738.18,126807017.9,133423517.8,188976065.6,15118328.25,103559464.5,128899663.9,210599946.9,7554657.39,54309468.79,81828901.46,119523240.6,"Zm00001d053545_T003","NAD(P)-binding Rossmann-fold superfamily protein","Zm00001d053545",231992630.55,484323339.48,458177403.55,263216268.24
2227897.027,4158658.159,5869924.719,4565842.628,4622631.687,10883599.58,9395422.914,12329909.36,2342628.145,8947441.41,8470146.018,11875563.07,1508278.587,4660388.275,5645595.326,7389030.081,"Zm00001d009749_T003","eukaryotic translation initiation factor 2 (eIF-2) family protein","Zm00001d009749",16822322.533,37231563.541,31635778.643,19203292.269
44632200.72,116390347.7,175079915.1,118782398.3,116186829.3,392262093.4,361418878.2,423151152.7,34345948.01,249219731.2,288894592.4,410429998.8,24450522.07,135607750.9,169767467.2,233632984.6,"Zm00001d000399_T002"," chloroplast protein synthesis2","Zm00001d000399",454884861.82,1293018953.6,982890270.41,563458724.77
15816090.36,21766759.36,29187482,22162264.6,24944409.39,41226127.61,36889202.85,49202235.8,14773827.1,41672368.57,39323919.07,54141364.9,11023009.74,30932262.87,32737691.95,38772710.75,"Zm00001d014876_T002","Disease resistance RPP13-like protein 4","Zm00001d014876",88932596.32,152261975.65,149911479.64,113465675.31
11842310.95,23450129.16,35661991.52,26208075.04,20283120.11,58066214.28,55613040.57,74872688.54,11278161.69,48795140.72,52205638.1,77380237.01,6585519.407,26161308.68,35448089.33,51897292.79,"Zm00001d016373_T003","Aminopeptidase M1","Zm00001d016373",97162506.67,208835063.5,189659177.52,120092210.207
7914018.787,18001737.5,26967544.99,19396471.71,22462144.74,69919769.42,65172654.59,80700758.36,7380875.117,40305053.15,47324229.81,66826258.74,5477481.107,26150695.2,32421750.35,44201182.05,"Zm00001d052622_T001","Glutamyl-tRNA(Gln) amidotransferase subunit B chloroplastic/mitochondrial","Zm00001d052622",72279772.987,238255327.11,161836416.817,108251108.707
18457917.77,36818560.62,50818614.36,27834240.16,34838099.85,104735856.4,87695901.37,113086691.4,12518977.55,68255936.47,70319459.73,99778205.61,13550617.46,51853498.49,53744725.48,65403038.74,"Zm00001d018034_T001"," geranylgeranyl hydrogenase1","Zm00001d018034",133929332.91,340356549.02,250872579.36,184551880.17
10182650.51,18768678.66,26610711.57,19763756.46,14843434.78,41143372.73,34400291.63,48733608.98,12647748.96,49302803.02,44943899.47,59674132.19,6438346.346,19146028.83,19190777.31,27562566.61,"Zm00001d037239_T001","glycine-rich protein","Zm00001d037239",75325797.2,139120708.12,166568583.64,72337719.096
12506983.54,31523774.41,52713974.87,37644052.32,23105305.1,72931869.67,74856660.88,101558302.3,11408193.88,60507696.07,72389452.03,108036986,6537944.382,35059735.11,47223523.77,70929715.9,"Zm00001d033619_T001","Adenylosuccinate synthetase%2C chloroplastic  ","Zm00001d033619",134388785.14,272452137.95,252342327.98,159750919.162
28900730.06,65946012.4,109615971.8,97448810.04,53612349.68,158875904.9,166258781.7,260560386.4,21778915.1,124251681.5,145075096.4,237646924.6,15474207.8,80799409.75,103344438.6,164823105.5,"Zm00001d045706_T005","Restorer of fertility2  ","Zm00001d045706",301911524.3,639307422.68,528752617.6,364441161.65
41269982.84,111948591.4,191403260,118242895.3,67610056.13,288716298.8,282807986.4,371700996,31633226.38,215993807.8,248779799.8,385236634.2,16453827.23,108584358.8,147565555.1,210643141.5,"Zm00001d046553_T003","Fructose-bisphosphate aldolase 7 cytosolic","Zm00001d046553",462864729.54,1010835337.33,881643468.18,483246882.63
19964777.5,40471748.28,59335249.24,44580577.83,43212557.91,109642184.3,100029390.9,141257894.7,21806343.17,91437344.98,93499546.56,151095395.2,12468218.05,47408123.94,59865765.89,87934033.14,"Zm00001d049409_T003"," aconitase1","Zm00001d049409",164352352.85,394142027.81,357838629.91,207676141.02
5036296.333,9129830.854,12370459.72,9769610.059,8668892.339,19747810.46,16798063.52,22019196.64,5101967.238,18597872.9,17179079.93,23765139.05,2920108.083,8739525.997,10668536.37,13617216.86,"Zm00001d031101_T002"," methyl binding domain106","Zm00001d031101",36306196.966,67233962.959,64644059.118,35945387.31
3075646.955,5642867.487,8058432.311,6007402.233,5372702.642,12133765.41,11194113.31,15100516.96,3051710.558,10621829.26,10654355.96,15054131.54,2118165.74,6115457.369,7656658.031,9626375.026,"Zm00001d022286_T001","DExH-box ATP-dependent RNA helicase DExH12","Zm00001d022286",22784348.986,43801098.322,39382027.318,25516656.166
23396439.12,34329729.09,44692077.62,34579817.72,41276135.28,80163109.68,72079979.72,105886684.2,24812992.67,72977343.77,69954093.82,96099178.26,15032621.75,39742173.11,41891918.92,52067867.08,"Zm00001d014993_T001","Luminal-binding protein 2  ","Zm00001d014993",136998063.55,299405908.88,263843608.52,148734580.86
7556232.033,13676184.01,19897199.19,15282446.22,13734895.59,31699216.31,29083155.91,41140351.74,8000863.307,28582554.8,29640268.7,42887789.66,4800795.415,15425299.23,17908556.09,25048645.06,"Zm00001d023741_T004","Alanine--tRNA ligase","Zm00001d023741",56412061.453,115657619.55,109111476.467,63183295.795
59224731.22,96729957.37,135028028.1,96832239.36,128947458.7,263323446.2,232634581.4,319750884.5,68074787.11,227402776.8,219717391.9,311072958.2,51945972.94,140069571.9,156218668.4,209344124.9,"Zm00001d049239_T001","Adenosylhomocysteinase  ","Zm00001d049239",387814956.05,944656370.8,826267914.01,557578338.14
29739739.61,64951213.9,99226314.8,70311954.09,45858153.46,126655081.7,109528242.2,135987739.6,22566496.38,107629384.2,113940245.5,169385147.7,18439493.26,71531423.33,93236393.52,133313722.7,"Zm00001d034919_T001","RuBisCO large subunit-binding protein subunit alpha  ","Zm00001d034919",264229222.4,418029216.96,413521273.78,316521032.81
7218611.834,15518647.26,24182516.67,17989314.69,22725299.83,68575592.51,66489909.2,85662722.18,7168700.678,36866785.48,44259095.38,64035897.35,4433943.946,18341651.36,22838607.28,30191416.5,"Zm00001d018870_T001","Proline--tRNA ligase chloroplastic/mitochondrial","Zm00001d018870",64909090.454,243453523.72,152330478.888,75805619.086
31274281.65,66039064.34,102541399.1,68786266.39,52656828.35,165227126,144703097.1,212947157.3,28207980.33,144765516.9,147000093.5,240841248.9,16324036.53,68494982.71,81786742.08,120028709,"Zm00001d005347_T001"," monodehydroascorbate reductase homolog1","Zm00001d005347",268641011.48,575534208.75,560814839.63,286634470.32
39112851.31,57317918.54,70459773.61,39026025.35,185461275.9,311726959.3,195620074.3,205501770.4,57841600.69,203410961.8,158367007,170591248.9,61214123.78,122101061.5,92801638.65,96625333.28,"Zm00001d021702_T001","Beta-amylase  ","Zm00001d021702",205916568.81,898310079.9,590210818.39,372742157.21
2815892.931,5048251.137,7089543.84,5490750.22,4962792.538,10727977.47,10071995.05,12815221.16,2765579.871,9389840.706,9590512.459,12329751.15,1833839.429,5536164.255,6495364.18,8063449.938,"Zm00001d045199_T005","Pre-mRNA-processing-splicing factor 8A","Zm00001d045199",20444438.128,38577986.218,34075684.186,21928817.802
12778442.89,28477446.96,41002018.03,32466874.66,17062987.59,45505162.38,47331933.54,57956421.82,9477266.631,40594734.9,48471172.83,64840349,7543302.781,33127859.16,44597552.22,58845235.04,"Zm00001d001788_T036","K(+) efflux antiporter 2 chloroplastic","Zm00001d001788",114724782.54,167856505.33,163383523.361,144113949.201
7553676.393,15370797,18676524.56,12045581.33,11506047.16,28713606.51,26268389.04,31058570.03,5599278.27,22848830.4,23946438.12,28553590.85,4585259.287,17616698.65,17642707.81,20037092.99,"Zm00001d016926_T001","ATATH13  ","Zm00001d016926",53646579.283,97546612.74,80948137.64,59881758.737
